cz,czname,state,lat,lon,c1980_85,am,rm,amfemale,rmfemale,ammale,rmmale,fracblack,racseg,incseg,segpov25,segafl75,fraccom15,hipc,gini,incsh1,ginibot99,frac2575,loctr,locgexp,schexp,tsr,tsperc,hsdrop,colpc,coltui,colgrad,lfpr,manshare,chimp,tlfpr,migirate,migorate,fracfor,scind,fracrel,crimer,fracsm,fracdiv,fracmar,incgrth
4501,West Liberty,KY,37.65226470465538,-83.44124885409829,3305.0,38.44575,0.34151,40.844,0.31924,36.157,0.35764,0.0197847,0.1574551,0.0111309,0.0094812,0.0097048,0.2946136,20801.63,0.50788,16.386,0.34402,0.45629,0.0092911,1271.852,6.7842424,14.831427,-5.551585,0.0298478,0.0200453,3750.0,-0.1763683,0.4234694,0.1377693,0.3878955,0.0018438,0.003908834,0.0069557199,0.0045332,-1.2892047,0.2139435,0.0003997,0.1986945,0.112458,0.5880772,-0.0138683
4502,Hazard,KY,37.111812880212106,-83.10205360616402,8859.0,42.679,0.2744,43.447,0.28552,41.9325,0.2645,0.0136534,0.0957294,0.0139384,0.0110074,0.011205,0.3150889,20987.14,0.44467,9.422,0.35045,0.50149,0.0105937,1263.873,6.4418161,15.17781,-7.906068,0.0103452,0.0254412,1610.46,-0.0047999,0.4214072,0.0581184,0.0094766,0.0020636,0.0035448062,0.0061737294,0.0047342,-1.3478979,0.3514446,0.0004359,0.1917449,0.1016768,0.5893362,0.0093327
4601,Campbellsville,KY,37.217247046633425,-85.22535283428316,5655.0,41.917,0.33136,43.8205,0.34178,39.98,0.32252,0.0242777,0.0670128,0.0103294,0.0070215,0.0104181,0.4042495,26922.56,0.39437,8.527,0.3091,0.52428,0.0091337,1624.228,5.7455738,15.50204,0.8185197,0.0056358,0.0239662,9291.53,0.0488094,0.5706365,0.2315264,1.489107,0.0037987,0.0064229308,0.0064828462,0.0103398,-0.49900086,0.6365532,0.0010186,0.1906754,0.1102533,0.6051068,-0.0102926
4602,Somerset,KY,36.85942106300601,-84.6457173371194,8639.0,39.055,0.39792,40.84675,0.42319,37.39825,0.37845,0.0082593,0.0467136,0.0211837,0.0158969,0.0239841,0.3718999,24891.55,0.46607,11.635,0.34972,0.48002,0.0121247,1270.797,5.8143764,16.584803,-2.443403,0.0104389,0.0080658,1150.0,-0.0282029,0.5287137,0.2477431,1.471493,0.0034933,0.005823473,0.0062832208,0.0077722,-1.140307,0.5383406,0.0010383,0.1913426,0.1068513,0.6117109,-0.0037197
4701,Greenwood,MS,33.59603430091529,-90.00656247495684,7786.0,35.5705,0.45862,35.763,0.48176,35.39,0.43524,0.5271481,0.2232873,0.0454371,0.0430663,0.0472755,0.4349828,25756.36,0.53933,13.772,0.40161,0.37759,0.0162208,2172.377,4.4806049,18.452564,-17.14452,0.0422883,0.011881,2746.0,0.030302,0.5468919,0.2276564,1.388617,0.0028464,0.0083642239,0.0128195989,0.0089489,-0.76446792,0.4744796,0.0016277,0.3807887,0.0867656,0.4684726,-0.0136064
4702,Clarksdale,MS,34.24861617400549,-90.03447016722298,12357.0,34.24675,0.47959,35.24375,0.48551,33.2425,0.47374,0.479377,0.1406819,0.021607,0.0216368,0.0232992,0.410059,25221.86,0.51977,12.888,0.39089,0.37292,0.0155589,1928.174,4.2944768,18.490688,-17.67537,-0.0005083,0.0141132,2889.11,0.2104029,0.5525163,0.1750484,1.789186,0.003168,0.0134569652,0.0162513849,0.0109836,-0.76081555,0.4444539,0.0013408,0.3565924,0.0832921,0.4494367,-0.0123354
4800,Greenville,MS,33.5013937009469,-90.83881011997204,15441.0,33.6105,0.47114,35.53525,0.47549,31.637,0.46548,0.6583261,0.2184724,0.0464035,0.0419807,0.0527998,0.4975943,23168.96,0.52541,11.211,0.4133,0.31364,0.0173896,1800.082,4.3444093,18.695393,-20.08202,0.0111936,0.0136209,1419.25,-0.0138093,0.5338187,0.187699,0.8530554,0.0024871,0.0074097785,0.0141044588,0.0065426,-1.0512486,0.3727364,0.002227,0.4336813,0.0830527,0.4023101,-0.0127706
4901,Jackson,TN,35.660191783391134,-88.87547300408349,15411.0,37.32325,0.39669,39.38725,0.39393,35.36525,0.39833,0.2735686,0.2231708,0.0647912,0.0623441,0.0662512,0.366459,31754.46,0.4735,12.857,0.34493,0.52575,0.0204128,3443.536,4.9654463,,-8.155142,-0.0086267,0.0252314,6395.61,-0.0196639,0.6142797,0.2587352,2.154541,0.0037243,0.0158654865,0.0152548873,0.0167746,-0.25140455,0.5696638,0.003271,0.2694692,0.1126524,0.539585,-0.0121626
4902,Dyersburg,TN,35.89379194106771,-89.39668724465618,7312.0,36.49925,0.45121,37.597,0.4882,35.415,0.416,0.287699,0.1602823,0.0181173,0.0145142,0.0216887,0.4420622,26596.63,0.41748,9.444,0.32304,0.50778,0.0168424,2161.675,4.9508521,,-3.10278,-0.005138,0.0108541,1294.0,-0.2607131,0.5663184,0.3161872,1.98367,0.0030078,0.0147724436,0.0173231594,0.0110091,-1.4445395,0.5043579,0.0035276,0.3000812,0.1207527,0.5326793,-0.0111835
4903,Lexington,TN,35.633280762946974,-88.22083235018495,3220.0,40.99425,0.36185,41.82875,0.35031,40.18975,0.37203,0.0572587,0.0782943,0.0106536,0.011758,0.0117024,0.341262,31852.9,0.31671,6.22,0.25451,0.61586,0.0128521,1722.025,3.9201511,,1.606849,-0.0219051,,,,0.596175,0.3196151,5.471788,0.0040039,0.0134346315,0.0112512254,0.0092856,-1.3984995,0.5069958,0.0017601,0.1942088,0.1208604,0.6113293,-0.0122939
